Pillar,Topic Disclosure
,(a) Describe the boards oversight of climate Page 8
Governance,
,(b) Describe management’s role in addressing climate related risks and opportunities Page 8
,"(a) Climate-related risks and opportunities Page 8, 9"
Strategy,(b) Impact of climate-related risks and opportunities on the organization Page 8
,"(c) Resilience of the organization’s strategy Page 8, 9"
,(a) Describe the organization’s processes for identifying and assessing climate-related
,Page 8 risks and opportunities
Risk,
Management,
,"(b) Describe the organization’s processes for managing climate-related risks Page 9, 10"
,"(c) Describe how processes for identifying, assessing and managing climate-related risks"
,"Page 9, 10are integrated into the organization’s overall risk management"
,(a) Disclose the metrics by the organization to assess climate related risks and
,"Page 10, 11, 12opportunities in line with its strategy and risk management process"
Metrics &,"(b) Disclose Scope 1, Scope 2, and, if appropriate, Scope 3 greenhouse gas emissions and"
Targets,Page 13the related risks
,(c) Climate-related targets and performance Page 12
