TABLE 2: PERSONAL SAFETY PERFORMANCE 1 2019,Unnamed: 0,2020,2021,2022
Total Recordable Incident Rate (TRIR) - Per 200k work hours,,,,
All Valaris Personnel 2 0.36,,0.51,0.38,0.57
Valaris Contractor / Agency Personnel 3 0.24,,0.43,0.83,1.20
IADC – Offshore Drilling Industry 4 0.37,,0.29,0.31,0.36
Lost Time Incident Rate (LTIR) - Per 200k work hours,,,,
All Valaris Personnel 2 0.07,,0.09,0.08,0.11
Valaris Contractor / Agency Personnel 3 0.07,,0.07,0.06,0.15
IADC – Offshore Drilling Industry 4 0.11,,0.07,0.09,0.09
Work-Related Fatalities,,,,
All Valaris Personnel 2 0,,0,0,0
Valaris Contractor / Agency Personnel 3 0,,0,0,0
Rig Performance,,,,
Rigs with zero recordables 5 - # (% of active fleet) 32 (55%),,31 (62%),20 (61%),15 (43%)
